,UR2020_V_2,mode,dest_type
0,Ashburton,cycling,doctor
1,Ashburton,driving,pharmacy
2,Ashburton,walking,doctor
3,Auckland,cycling,supermarket
4,Auckland,driving,supermarket
5,Auckland,walking,supermarket
6,Blenheim,cycling,supermarket
7,Blenheim,driving,supermarket
8,Blenheim,walking,supermarket
9,Cambridge,cycling,supermarket
10,Cambridge,driving,supermarket
11,Cambridge,walking,supermarket
12,Christchurch,cycling,supermarket
13,Christchurch,driving,supermarket
14,Christchurch,walking,supermarket
15,Dunedin,cycling,supermarket
16,Dunedin,driving,supermarket
17,Dunedin,walking,supermarket
18,Feilding,cycling,doctor
19,Feilding,driving,doctor
20,Feilding,walking,doctor
21,Gisborne,cycling,doctor
22,Gisborne,driving,doctor
23,Gisborne,walking,doctor
24,Hamilton,cycling,supermarket
25,Hamilton,driving,supermarket
26,Hamilton,walking,supermarket
27,Hastings,cycling,doctor
28,Hastings,driving,doctor
29,Hastings,walking,doctor
30,Havelock North,cycling,pharmacy
31,Havelock North,driving,pharmacy
32,Havelock North,walking,pharmacy
33,Hibiscus Coast,cycling,doctor
34,Hibiscus Coast,driving,doctor
35,Hibiscus Coast,walking,doctor
36,Invercargill,cycling,doctor
37,Invercargill,driving,doctor
38,Invercargill,walking,doctor
39,Kaiapoi,cycling,supermarket
40,Kaiapoi,driving,supermarket
41,Kaiapoi,walking,supermarket
42,Levin,cycling,supermarket
43,Levin,driving,supermarket
44,Levin,walking,supermarket
45,Lower Hutt,cycling,supermarket
46,Lower Hutt,driving,supermarket
47,Lower Hutt,walking,doctor
48,Masterton,cycling,doctor
49,Masterton,driving,doctor
50,Masterton,walking,doctor
51,Mosgiel,cycling,doctor
52,Mosgiel,driving,primary_school
53,Mosgiel,walking,doctor
54,Napier,cycling,doctor
55,Napier,driving,doctor
56,Napier,walking,doctor
57,Nelson,cycling,supermarket
58,Nelson,driving,supermarket
59,Nelson,walking,supermarket
60,New Plymouth,cycling,doctor
61,New Plymouth,driving,doctor
62,New Plymouth,walking,doctor
63,Oamaru,cycling,pharmacy
64,Oamaru,driving,pharmacy
65,Oamaru,walking,pharmacy
66,Palmerston North,cycling,doctor
67,Palmerston North,driving,doctor
68,Palmerston North,walking,doctor
69,Paraparaumu,cycling,pharmacy
70,Paraparaumu,driving,pharmacy
71,Paraparaumu,walking,pharmacy
72,Porirua,cycling,pharmacy
73,Porirua,driving,pharmacy
74,Porirua,walking,pharmacy
75,Pukekohe,cycling,doctor
76,Pukekohe,driving,doctor
77,Pukekohe,walking,doctor
78,Queenstown,cycling,supermarket
79,Queenstown,driving,supermarket
80,Queenstown,walking,supermarket
81,Rangiora,cycling,supermarket
82,Rangiora,driving,supermarket
83,Rangiora,walking,supermarket
84,Richmond,cycling,pharmacy
85,Richmond,driving,supermarket
86,Richmond,walking,pharmacy
87,Rolleston,cycling,supermarket
88,Rolleston,driving,pharmacy
89,Rolleston,walking,supermarket
90,Rotorua,cycling,pharmacy
91,Rotorua,driving,pharmacy
92,Rotorua,walking,pharmacy
93,Taupo,cycling,doctor
94,Taupo,driving,doctor
95,Taupo,walking,doctor
96,Tauranga,cycling,doctor
97,Tauranga,driving,doctor
98,Tauranga,walking,doctor
99,Te Awamutu,cycling,doctor
100,Te Awamutu,driving,doctor
101,Te Awamutu,walking,doctor
102,Timaru,cycling,supermarket
103,Timaru,driving,supermarket
104,Timaru,walking,supermarket
105,Tokoroa,cycling,doctor
106,Tokoroa,driving,doctor
107,Tokoroa,walking,doctor
108,Upper Hutt,cycling,doctor
109,Upper Hutt,driving,doctor
110,Upper Hutt,walking,doctor
111,Waikanae,cycling,doctor
112,Waikanae,driving,pharmacy
113,Waikanae,walking,doctor
114,Wellington,cycling,supermarket
115,Wellington,driving,supermarket
116,Wellington,walking,supermarket
117,Whakatane,cycling,supermarket
118,Whakatane,driving,supermarket
119,Whakatane,walking,supermarket
120,Whanganui,cycling,pharmacy
121,Whanganui,driving,pharmacy
122,Whanganui,walking,pharmacy
123,Whangarei,cycling,supermarket
124,Whangarei,driving,supermarket
125,Whangarei,walking,supermarket
