Y,X,TA2021_V1_,TA2021_V_1,TA2021_V_2,zoom
-40.0239932321165,176.520314423676,"032",Central Hawke's Bay District,Central Hawke's Bay District,10
-39.0503840859459,174.374824205439,"033",New Plymouth District,New Plymouth District,10
-39.2184383266661,174.621700276842,"034",Stratford District,Stratford District,10
-39.5345650276562,174.432901997869,"035",South Taranaki District,South Taranaki District,10
-39.1082635574996,175.335908476635,"036",Ruapehu District,Ruapehu District,10
-39.7078711164166,175.134234182309,"037",Whanganui District,Whanganui District,10
-39.687922007574,175.782201168232,"038",Rangitikei District,Rangitikei District,10
-40.1134983596505,175.697462581644,"039",Manawatu District,Manawatu District,10
-40.3865082870102,175.641996457181,"040",Palmerston North City,Palmerston North City,10
-40.4440231177735,176.062231620038,"041",Tararua District,Tararua District,10
-40.5800383230774,175.355138766371,"042",Horowhenua District,Horowhenua District,10
-40.8619166303659,175.170318963766,"043",Kapiti Coast District,Kapiti Coast District,10
-41.0930527747525,174.902685514556,"044",Porirua City,Porirua City,10
-41.0789353019614,175.114660243492,"045",Upper Hutt City,Upper Hutt City,10
-41.2792478433422,174.956773143707,"046",Lower Hutt City,Lower Hutt City,10
-41.256041140455,174.749933370823,"047",Wellington City,Wellington City,10
-40.8970840290083,175.883729589685,"048",Masterton District,Masterton District,10
-41.065058895269,175.620296576023,"049",Carterton District,Carterton District,10
-41.3033700809846,175.392494860035,"050",South Wairarapa District,South Wairarapa District,10
-41.175677887655,172.725437564891,"051",Tasman District,Tasman District,10
-35.1903555183667,173.576958094013,"001",Far North District,Far North District,10
-35.7161107784882,174.259385998753,"002",Whangarei District,Whangarei District,10
-35.9929581979746,174.025672797135,"003",Kaipara District,Kaipara District,10
-36.9320098007699,175.641152338952,"011",Thames-Coromandel District,Thames-Coromandel District,10
-37.3312372351134,175.607955961735,"012",Hauraki District,Hauraki District,10
-37.541315722094,175.070297395242,"013",Waikato District,Waikato District,10
-37.6689895514738,175.66367384535,"015",Matamata-Piako District,Matamata-Piako District,10
-37.7726503605989,175.267697197202,"016",Hamilton City,Hamilton City,10
-37.9646202583727,175.399259801476,"017",Waipa District,Waipa District,10
-38.1951991525947,175.277509312664,"018",Ōtorohanga District,Otorohanga District,10
-38.1667580611503,175.868299457776,"019",South Waikato District,South Waikato District,10
-38.454277664518,175.007350422785,"020",Waitomo District,Waitomo District,10
-38.8138141023028,176.046939376785,"021",Taupo District,Taupo District,10
-37.7738514372134,176.161108152027,"022",Western Bay of Plenty District,Western Bay of Plenty District,10
-37.7036056908635,176.18823770834,"023",Tauranga City,Tauranga City,10
-38.2230381716114,176.326452009615,"024",Rotorua District,Rotorua District,10
-38.3119182596826,176.856764952348,"025",Whakatane District,Whakatane District,10
-38.0894851556775,176.690675884029,"026",Kawerau District,Kawerau District,10
-38.013578201998,177.576749236333,"027",Ōpōtiki District,Opotiki District,10
-38.2815467133098,177.920877108478,"028",Gisborne District,Gisborne District,10
-38.8978377990824,177.235382984651,"029",Wairoa District,Wairoa District,10
-39.417266354158,176.626822294391,"030",Hastings District,Hastings District,10
-39.4979047180597,176.869337516909,"031",Napier City,Napier City,10
-41.2467370380209,173.386815478358,"052",Nelson City,Nelson City,10
-41.584566883047,173.611475153879,"053",Marlborough District,Marlborough District,10
-42.1982897060781,173.643648627372,"054",Kaikoura District,Kaikoura District,10
-41.7684105321014,172.031786745343,"055",Buller District,Buller District,10
-42.4919865610678,171.581081087404,"056",Grey District,Grey District,10
-43.5511105001053,169.910331409866,"057",Westland District,Westland District,10
-42.696959489553,172.731026884217,"058",Hurunui District,Hurunui District,10
-43.2487822511433,172.311531164691,"059",Waimakariri District,Waimakariri District,10
-43.6819168799057,172.766060405531,"060",Christchurch City,Christchurch City,10
-43.3093464904082,171.878191607585,"062",Selwyn District,Selwyn District,10
-43.65012604515,171.400742480836,"063",Ashburton District,Ashburton District,10
-44.0289491935816,171.086112444714,"064",Timaru District,Timaru District,10
-43.9651445833209,170.447303186352,"065",Mackenzie District,Mackenzie District,10
-44.6093729064212,170.759298832841,"066",Waimate District,Waimate District,10
-43.984415594363,-176.416181783082,"067",Chatham Islands Territory,Chatham Islands Territory,10
-44.8185974779701,170.293741622815,"068",Waitaki District,Waitaki District,10
-45.1549947872202,169.593586076433,"069",Central Otago District,Central Otago District,10
-44.6749557338436,168.854095480776,"070",Queenstown-Lakes District,Queenstown-Lakes District,10
-45.6743615167956,170.258780734379,"071",Dunedin City,Dunedin City,10
-46.0875746215109,169.54702120742,"072",Clutha District,Clutha District,10
-45.7016845230754,167.855234161609,"073",Southland District,Southland District,10
-46.0719659709547,168.962539048673,"074",Gore District,Gore District,10
-46.4820291269309,168.356986642851,"075",Invercargill City,Invercargill City,10
-36.861850,174.759859,"076",Auckland,Auckland,10
